"UID","Name","Documentation"
"_2024x_4c5019a_1725547950570_166239_37", "SAF_Adversary", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1724753316265_833673_1841'>Adversary</A></html>"
"_2021x_2_6d8019d_1674232165468_699772_23249", "SAF_Argument", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167080_762583_23364'>Argument</A></html>"
"_2021x_2_6d8019d_1687623430525_974383_25431", "SAF_ArgumentClaimSupport", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1687622957056_63882_25313'>AGTsupportingCLM</A></html>"
"_2024x_4c5019a_1724838389862_85507_1364", "SAF_Asset", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1724750542260_2346_1453'>Asset</A></html>"
"_2024x_4c5019a_1725547916078_557191_25", "SAF_Assumption", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1724754064310_650307_1929'>Assumption</A></html>"
"_2024x_4c5019a_1729866479166_357505_18", "SAF_AttackAction", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1729865951822_392813_2627'>Attack Action</A></html>"
"_2024x_4c5019a_1725547928969_322514_31", "SAF_AttackPath", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1728287543061_486317_539'>ADV use Attack Path to attack SO</A></html>"
"_2024x_2a0c05a1_1731001044239_219725_34", "SAF_AttackVector", "<html>Not implementing a concept</html>"
"_2024x_4c5019a_1727777620157_683028_20", "SAF_Availability", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1727773856081_19672_133'>Availability</A></html>"
"_2021x_2_6d8019d_1674232165479_968036_23271", "SAF_C2_ARAS", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/Argumentation Assurance Viewpoint'>Argumentation Assurance Viewpoint</A><BR>Purpose:<BR>The Argumentation Assurance Viewpoint presents claims backed up by arguments that are supported by evidence;together with the possibility to counter such claims in a similar manner.<BR>Presentation:<BR>A block definition diagram (BDD) featuring a claim-argument-evidence pattern (CAE).</html>"
"_2021x_2_8710274_1700817327515_843725_50585", "SAF_C2_CSTD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/Common Standards Definition Viewpoint'>Common Standards Definition Viewpoint</A><BR>Purpose:<BR>The Standards Definition Viewpoint supports the definition of applicable standards;and their relationships; e.g.;for format and protocol specifications;regulations;and engineering documents that are used throughout the system life cycle. It provides the meta-data for the applied standards;guidance and policy;e.g.;issue;version;issue date;and publisher. The Viewpoint helps to keep track of changes to the set of applicable documents and of new versions of applied standards. Links should be used to refer to documents external to the architecture description.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring the taxonomy of types of standards; applicable to the system of interest;or parts of the system of interest. The Standards are represented by packages which allows to use them in model libraries and put e.g. reusable interface definitions;or terms complying to the standard into the package</li><li>A table format listing standards;applicable to the system of interest or parts of it;their relationships and the relation to which parts of the system the standards apply</li></UL></html>"
